Component Name,Part Number,Description,Material,Quantity
ShapeString190,ShapeString190,,,1
ShapeString196,ShapeString196,,,1
ShapeString085,ShapeString085,,,1
ShapeString192,ShapeString192,,,1
ShapeString193,ShapeString193,,,1
ShapeString194,ShapeString194,,,1
ShapeString195,ShapeString195,,,1
ShapeString222,ShapeString222,,,1
ShapeString086,ShapeString086,,,1
ShapeString197,ShapeString197,,,1
ShapeString198,ShapeString198,,,1
ShapeString199,ShapeString199,,,1
ShapeString200,ShapeString200,,,1
ShapeString201,ShapeString201,,,1
ShapeString202,ShapeString202,,,1
ShapeString203,ShapeString203,,,1
ShapeString204,ShapeString204,,,1
ShapeString205,ShapeString205,,,1
ShapeString206,ShapeString206,,,1
ShapeString207,ShapeString207,,,1
ShapeString208,ShapeString208,,,1
ShapeString209,ShapeString209,,,1
ShapeString210,ShapeString210,,,1
ShapeString211,ShapeString211,,,1
ShapeString212,ShapeString212,,,1
ShapeString213,ShapeString213,,,1
ShapeString214,ShapeString214,,,1
ShapeString215,ShapeString215,,,1
ShapeString216,ShapeString216,,,1
ShapeString217,ShapeString217,,,1
ShapeString218,ShapeString218,,,1
ShapeString219,ShapeString219,,,1
ShapeString220,ShapeString220,,,1
ShapeString221,ShapeString221,,,1
ShapeString224,ShapeString224,,,1
ShapeString087,ShapeString087,,,1
ShapeString223,ShapeString223,,,1
ShapeString226,ShapeString226,,,1
ShapeString088,ShapeString088,,,1
ShapeString225,ShapeString225,,,1
ShapeString228,ShapeString228,,,1
ShapeString089,ShapeString089,,,1
ShapeString227,ShapeString227,,,1
ShapeString230,ShapeString230,,,1
ShapeString090,ShapeString090,,,1
ShapeString229,ShapeString229,,,1
ShapeString232,ShapeString232,,,1
ShapeString091,ShapeString091,,,1
ShapeString231,ShapeString231,,,1
ShapeString234,ShapeString234,,,1
ShapeString092,ShapeString092,,,1
ShapeString233,ShapeString233,,,1
ShapeString236,ShapeString236,,,1
ShapeString093,ShapeString093,,,1
ShapeString235,ShapeString235,,,1
ShapeString238,ShapeString238,,,1
ShapeString094,ShapeString094,,,1
ShapeString237,ShapeString237,,,1
ShapeString240,ShapeString240,,,1
ShapeString095,ShapeString095,,,1
ShapeString239,ShapeString239,,,1
ShapeString242,ShapeString242,,,1
ShapeString096,ShapeString096,,,1
ShapeString241,ShapeString241,,,1
ShapeString244,ShapeString244,,,1
ShapeString097,ShapeString097,,,1
ShapeString243,ShapeString243,,,1
ShapeString246,ShapeString246,,,1
ShapeString098,ShapeString098,,,1
ShapeString245,ShapeString245,,,1
j_silk006,j_silk006,,Steel,1
components,components,,,1
SD slot,SD slot,,Steel,1
contact01,contact01,,Steel,1
contact02,contact02,,Steel,1
contact03,contact03,,Steel,1
contact04,contact04,,Steel,1
contact05,contact05,,Steel,1
contact06,contact06,,Steel,1
contact07,contact07,,Steel,1
contact08,contact08,,Steel,1
frame001,frame001,,Steel,1
contact09,contact09,,Steel,1
cover,cover,,Steel,1
contact11,contact11,,Steel,1
contact10,contact10,,Steel,1
parts,parts,,,1
TSSOP16_010,TSSOP16_010,,,1
TSSOP16_001,TSSOP16_001,,Steel,1
TSSOP16_002,TSSOP16_002,,Steel,1
TSSOP16_003,TSSOP16_003,,Steel,1
TSSOP16_004,TSSOP16_004,,Steel,1
TSSOP16_005,TSSOP16_005,,Steel,1
TSSOP16_006,TSSOP16_006,,Steel,1
TSSOP16_007,TSSOP16_007,,Steel,1
TSSOP16_008,TSSOP16_008,,Steel,1
TSSOP16_009,TSSOP16_009,,Steel,1
ShapeString253,ShapeString253,,,1
ShapeString066,ShapeString066,,,1
ShapeString247,ShapeString247,,,1
ShapeString248,ShapeString248,,,1
ShapeString249,ShapeString249,,,1
ShapeString250,ShapeString250,,,1
ShapeString251,ShapeString251,,,1
ShapeString252,ShapeString252,,,1
SMD_resistor001,SMD_resistor001,,,1
body,body,,Steel,1
contact1,contact1,,Steel,1
contact2,contact2,,Steel,1
label,label,,Steel,1
Part010,Part010,,,1
ShapeString256,ShapeString256,,,1
ShapeString001,ShapeString001,,,1
ShapeString254,ShapeString254,,,1
ShapeString255,ShapeString255,,,1
SMD_resistor002,SMD_resistor002,,,1
body003,body003,,Steel,1
contact016,contact016,,Steel,1
contact017,contact017,,Steel,1
label001,label001,,Steel,1
Part013,Part013,,,1
ShapeString259,ShapeString259,,,1
ShapeString002,ShapeString002,,,1
ShapeString257,ShapeString257,,,1
ShapeString258,ShapeString258,,,1
SMD_resistor003,SMD_resistor003,,,1
body004,body004,,Steel,1
contact018,contact018,,Steel,1
contact019,contact019,,Steel,1
label002,label002,,Steel,1
Part015,Part015,,,1
ShapeString262,ShapeString262,,,1
ShapeString003,ShapeString003,,,1
ShapeString260,ShapeString260,,,1
ShapeString261,ShapeString261,,,1
SMD_resistor004,SMD_resistor004,,,1
body005,body005,,Steel,1
contact020,contact020,,Steel,1
contact021,contact021,,Steel,1
label003,label003,,Steel,1
Part017,Part017,,,1
ShapeString265,ShapeString265,,,1
ShapeString004,ShapeString004,,,1
ShapeString263,ShapeString263,,,1
ShapeString264,ShapeString264,,,1
SMD_resistor005,SMD_resistor005,,,1
body006,body006,,Steel,1
contact022,contact022,,Steel,1
contact023,contact023,,Steel,1
label004,label004,,Steel,1
Part019,Part019,,,1
ShapeString268,ShapeString268,,,1
ShapeString005,ShapeString005,,,1
ShapeString266,ShapeString266,,,1
ShapeString267,ShapeString267,,,1
SMD_resistor006,SMD_resistor006,,,1
body007,body007,,Steel,1
contact024,contact024,,Steel,1
contact025,contact025,,Steel,1
label005,label005,,Steel,1
Part021,Part021,,,1
ShapeString271,ShapeString271,,,1
ShapeString006,ShapeString006,,,1
ShapeString269,ShapeString269,,,1
ShapeString270,ShapeString270,,,1
SMD_cap001,SMD_cap001,,Steel,1
body008,body008,,Steel,1
contact026,contact026,,Steel,1
contact027,contact027,,Steel,1
SMD_cap002,SMD_cap002,,Steel,1
body002,body002,,Steel,1
contact014,contact014,,Steel,1
contact015,contact015,,Steel,1
SOT23,SOT23,,,1
ShapeString274,ShapeString274,,,1
ShapeString064,ShapeString064,,,1
ShapeString272,ShapeString272,,,1
ShapeString273,ShapeString273,,,1
Pin036,Pin036,,Steel,1
Pin035,Pin035,,Steel,1
Pin1,Pin1,,Steel,1
Case,Case,,Steel,1
SOT23-1,SOT23-1,,,1
ShapeString278,ShapeString278,,,1
ShapeString065,ShapeString065,,,1
ShapeString275,ShapeString275,,,1
ShapeString276,ShapeString276,,,1
ShapeString277,ShapeString277,,,1
Pin039,Pin039,,Steel,1
Pin038,Pin038,,Steel,1
Pin037,Pin037,,Steel,1
Case001,Case001,,Steel,1
pls-14,pls-14,,Steel,1
Frame,Frame,,Steel,1
Pin01,Pin01,,Steel,1
Pin002,Pin002,,Steel,1
Pin003,Pin003,,Steel,1
Pin004,Pin004,,Steel,1
Pin005,Pin005,,Steel,1
Pin006,Pin006,,Steel,1
Pin007,Pin007,,Steel,1
Pin008,Pin008,,Steel,1
Pin009,Pin009,,Steel,1
Pin010,Pin010,,Steel,1
Pin011,Pin011,,Steel,1
Pin012,Pin012,,Steel,1
Pin013,Pin013,,Steel,1
Pin014,Pin014,,Steel,1
mask_upper,mask_upper,,Steel,1
Display and Touchscreen,Display and Touchscreen,,Steel,1
Display,Display,,Steel,1
frame,frame,,Steel,1
metal bandage,metal bandage,,Steel,1
tft,tft,,Steel,1
tft_cable,tft_cable,,Steel,1
light_shelf,light_shelf,,Steel,1
main_shelf,main_shelf,,Steel,1
tft_matrix,tft_matrix,,Steel,1
tft_board,tft_board,,Steel,1
screen,screen,,Steel,1
screen_film,screen_film,,Steel,1
screen_glass,screen_glass,,Steel,1
Touchscreen,Touchscreen,,Steel,1
touch_routs,touch_routs,,Steel,1
touch_protect,touch_protect,,Steel,1
touch_cable,touch_cable,,Steel,1
touch_cable_contacts,touch_cable_contacts,,Steel,1
touch_cable_film,touch_cable_film,,Steel,1
